time,humid,pres,temp
2024/05/10 03:00:19,57.55683899,100751.4063,41.35596466
2024/05/10 03:01:19,56.78781128,100754.1094,41.22566605
2024/05/10 03:02:19,57.28354645,100753.3438,41.65583801
2024/05/10 03:03:19,56.40965271,100752.0469,42.16725922
2024/05/10 03:04:19,56.58125305,100750.8984,41.25053787
2024/05/10 03:05:20,57.00708008,100750.3047,41.36079407
2024/05/10 03:06:16,57.43926239,100751.25,41.51515198
2024/05/10 03:07:16,57.32168198,100752.4688,41.82666016
2024/05/10 03:08:16,57.4329071,100756.0234,41.07527924
2024/05/10 03:09:17,57.89368439,100753.6875,41.12523651
2024/05/10 03:10:17,57.01661301,100754.5156,41.81195831
2024/05/10 03:11:19,56.62892151,100752.7969,41.60139847
2024/05/10 03:12:20,56.60032272,100752.7734,42.18346405
2024/05/10 03:13:19,56.1236496,100753.125,41.93260574
2024/05/10 03:14:20,56.36834335,100751.5547,41.62187195
2024/05/10 03:15:20,56.95941162,100749.4063,41.46113968
2024/05/10 03:16:15,57.02296829,100747.6406,40.93019104
2024/05/10 03:17:15,57.25812531,100745.5469,41.64183044
2024/05/10 03:18:16,56.58443451,100751.8125,42.16346359
2024/05/10 03:19:16,56.0569191,100747.7188,41.50653076
2024/05/10 03:20:16,57.17868042,100745.2813,41.03049469
2024/05/10 03:21:16,57.76657104,100745.875,40.47411728
2024/05/10 03:22:16,58.11295319,100741.8281,41.58200073
2024/05/10 03:23:16,57.15961456,100743.5,41.35652924
2024/05/10 03:24:16,56.80370331,100745.3906,41.57191467
2024/05/10 03:25:17,57.42972565,100746.9844,40.78993607
2024/05/10 03:26:17,58.78347015,100750.9531,40.32364273
2024/05/10 03:27:17,57.96359634,100742.7344,41.73234558
2024/05/10 03:28:17,57.11194611,100741.3906,41.4814415
2024/05/10 03:29:17,57.28037262,100741.4688,41.86811829
2024/05/10 03:30:17,57.08652496,100741.0156,41.06058121
2024/05/10 03:31:18,57.7189064,100741.6953,41.53144073
2024/05/10 03:32:21,57.5504837,100738.8594,41.42105484
2024/05/10 03:33:16,57.01979065,100740.8125,41.22601318
2024/05/10 03:34:16,58.09388733,100740.4219,41.04532242
2024/05/10 03:35:16,57.5727272,100735.6094,41.07553864
2024/05/10 03:36:17,58.37988663,100742.7031,40.41381836
2024/05/10 03:37:16,59.74316406,100742.7188,40.36864471
2024/05/10 03:38:19,59.65418243,100739.4375,40.19329834
2024/05/10 03:39:19,59.60651398,100742.8438,40.24868774
2024/05/10 03:40:20,59.61605072,100742.625,40.54441833
2024/05/10 03:41:20,59.20611572,100738.125,41.09588242
2024/05/10 03:42:20,60.032341,100744.7188,39.92782593
2024/05/10 03:43:16,59.16798019,100737.6328,40.95532227
2024/05/10 03:44:16,58.65317535,100739.0469,41.2409668
2024/05/10 03:45:16,59.06946945,100740.1875,41.08558273
2024/05/10 03:46:17,59.78765106,100741.0938,40.5593338
2024/05/10 03:47:16,59.64464951,100735.4063,41.2461853
